Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
343,Packback,21,5,521,Education,Kasey Gandham and Mike Shannon,"Chicago, IL",Chicago, IL,http://www.packbackbooks.com,200000,0.1,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,Others,Others,,,,,TRUE,Packback rents digital textbooks for $5 or less and allows students to compare prices when buying or selling textbooks.
344,Morninghead,21,5,521,Personal Care and Cosmetics,Max Valverde,"Boston, MA",Boston, MA,http://www.morninghead.com,25000,0.2,125000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Morninghead is like a shower cap, but it keeps water IN instead of OUT. And the time you would want to do that is in the morning, when you wake up with bed head that crimps your style. Morninghead looks like a shower cap, but has an absorbent material on the inside that holds a solid helping of water without dripping. Fill with water and put it on your head to get your hair thoroughly wet without dripping or making a mess."
345,Chapul,21,5,521,Specialty Food,Pat Crowley,"Salt Lake City, UT",Salt Lake City, UT,http://chapul.com,50000,0.05,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,,,,,,FALSE,"Chapul manufactures a high-protein flour from crickets. That's right, the same crickets you might feed your pet lizard are also a rich and cost-effective source of protein that is largely overlooked and undervalued by Americans but popular in many Eastern cultures. Chapul's unique cricket flour nutrition bars offer a gentle and appetizing introduction of insects into the Western diet."
346,Monkey Mat,22,5,522,Baby and Child Care,,"Austin, TX",Austin, TX,http://monkeymat.com,100000,0.3,333333,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG+MC,Mark Cuban,Lori Greiner,,,,FALSE,"The Monkey Mat is a versatile and durable play cover, great taking to picnics, out to the beach, to concerts, and anywhere else your kids might want to monkey around. Monkey Mat is machine-washable and made from a water-repellent material and comes with weighted corners as well as loops for staking it to the ground."
347,The Paint Brush Cover,22,5,522,Home Improvement,,"Jackson, NJ",Jackson, NJ,http://www.thepaintbrushcover.com,50000,0.1,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"The Paint Brush Cover stores paint-covered brushes during breaks (hours, days, even weeks) without drying it out. It also protects the brush from damage when not in use, making the job of painting easier and more convenient. Since their pitch on Shark Tank, this team of brothers has also introduced a Paint Roller Cover to do the same for that other important painting tool!"
348,Plated,22,5,522,Specialty Food,,"New York, NY",New York, NY,https://www.plated.com,500000,0.04,12500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"Plated makes home cooking easier, more fun, and more varied. This subscription service delivers all the ingredients you need to make a full meal, perfectly portioned out and with a detailed chef-designed recipe. You receive a weekly box with the ingredients and step-by-step instructions for the meals of your choice for the week. The recipes and ingredients change with the seasons to keep things fresh and interesting. Plated offers a great alternative to the old-fashioned and time-consuming chore of going to the grocery store to buy ingredients, often in odd quantities that create waste. With Plated you can enjoy the fun part of making and sharing a meal at home."
349,Kodiak Cakes,22,5,522,Specialty Food,Joel Clark,"Park City, UT",Park City, UT,http://www.kodiakcakes.com,500000,0.1,5000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Based on an old family recipe, Kodiak Cakes makes flapjack and waffle mixes that will knock your socks off. These mixes use 100% whole grain and all-natural ingredients to make light and fluffy pancakes and delectable waffles, just by adding water!"
350,Lord Nut Levington,23,5,523,Specialty Food,,"Dallas, TX",Dallas, TX,http://www.whoislordnut.com or http://www.lordnut.com,500000,0.3,1666667,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Lord Nut Levington has a mission: to free your taste buds from bland snack foods. These peanuts are highly seasoned, with bold flavors such as Hot Buffalo Sauce, Spicy Bloody Mary, and Zesty Chili Lime. Sold across the nation and online, Lord Nut Levington rallies these peanuts around the hashtag #fightbland."
351,Happy Feet,23,5,523,Novelties,Pat Yates,"Louisville, KY",Louisville, KY,http://www.buyhappyfeet.com,375000,0.15,2500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,"Happy Feet are the plushest, softest slippers that money can buy. These slippers don't apologize for being comfy, they flaunt it. Founded in 1995, the company started out with just a few styles but over the years have expanded to include hundreds of designs, including many in association with branding partners."
352,Velocity Signs,23,5,523,Novelties,Scott Adams and Josh Faherty,"Sacramento, CA",Sacramento, CA,,225000,0.15,1500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,KOL+MC+RH,Mark Cuban,Kevin O'Leary,Robert Herjavec,,,TRUE,"Velocity Signs are robots that wave the signs for your business. Unlike human sign-wavers, Velocity Signs are battery-operated and don't have to be managed. It's a simple and relatively inexpensive way for businesses to promote their brands."
353,Hold Your Haunches,23,5,523,Undergarments and Basics,Erin Bickley and Jenny Greer,"Macon, GA",Macon, GA,http://holdyourhaunches.com,75000,0.2,375000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC+LG,Barbara Corcoran,Lori Greiner,,,,TRUE,"Hold Your Haunches is not your typical shapewear. It's not made to hide underneath your clothes, it's shapewear built into the clothes. Hold Your Haunches pants tighten legs and booties and are also just nice to look at! The secret to Hold Your Haunches is in the unique two-layer design, which is design and utility patent-pending. These shapewear fashion pants have an attractive outer shell and an inner compression shell sewn in at the waist."
354,Power Pot,24,5,524,Outdoor Recreation,,"Salt Lake City, UT",Salt Lake City, UT,http://www.powerpractical.com,250000,0.1,2500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"The PowerPot is the ideal companion for outdoors enthusiasts who don't want to completely unplug from the grid. This innovative little generator makes electricity from boiling water, believe it! The folks behind PowerPot's company, Power Practical, doesn't want to just bring affordable energy solutions to campers though. They have also partnered with NGOs to start getting Power Pots into the hands of people in developing countries who live in villages where they may have inconsistent electricity supply, or none at all."
355,Funtime Express,24,5,524,Baby and Children's Entertainment,Stan Krozel and Kevin Ullery,"Chicago, IL",Chicago, IL,http://funtimeexpress.com,125000,0.2,625000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL+LG,Kevin O'Leary,Lori Greiner,,,,TRUE,A unique and memorable trackless train ride that entertains children in shopping malls.
356,Taylor Robinson Music,24,5,524,Online Services,Taylor Robinson,"Dallas, TX",Dallas, TX,http://www.taylorrobinsonmusic.com,100000,0.1,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"An online platform that helps music students find, schedule, and pay for private music lessons with local music teachers."
357,Quickstop Fire Sprinkler Tools,24,5,524,Productivity Tools,,"San Diego, CA",San Diego, CA,http://www.quickstoptool.com,150000,0.1,1500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"This entrepreneur is onto something: while fire may be dangerous, the real monetary threat tends to be the sprinklers that get set off in these emergencies. Whether a fire is big or small, once the sprinklers go off, you're due for tons of water damage, which can destroy your home or business. As it turns out, it's really difficult to turn off sprinklers, and even firefighters struggle to stop the flow in a timely manner. Quickstop Fire Sprinkler tools to the rescue! Created by a firefighter who is very familiar with the problem, Quickstop Tools are easy to operate and should be a staple in every building and fire department. These tools enable users to swiftly stop sprinklers without having to shut down the entire building's fire protection system."
358,Intelli-Stopper,25,5,525,Wine Accessories,Chase Hoyt,"Las Vegas, NV",Las Vegas, NV,http://www.savethewine.com,250000,0.1,2500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Now doing business as Wine Doctor, this device helps preserve wine and comes with an indicator that takes out the guesswork."
359,iLumi,25,5,525,Electronics,Swapnil Bora and Corey Egan,"Plano, TX",Plano, TX,http://www.ilumi.co,350000,0.15,2333333,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,Others,Others,,,,,TRUE,"These light bulbs have smarts! ilumi makes LED light bulbs that are color-tunable. They screw into the socket like any normal lightbulb, but they can be controled from the free ilumi smartphone app. From your phone, you can adjust the brightness settings and the colors for as many bulbs as you have in your home. ilumi light bulbs can even be programmed to serve as sunrise alarm clocks, sync to music, and other fun features. As an added benefit, ilumi's LED technology is seven times more energy efficient than a regular light bulbs, and they are also durable, lasting up to 20 years."
360,ZooBean,25,5,525,Baby and Children's Entertainment,,"Washington, DC",Washington, DC,https://www.zoobean.com,250000,0.15,1666667,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"Zoobean is a parent and educator's ultimate companion to encourage children's literacy and expose them to a range of reading materials. Created by a husband and wife duo with backgrounds in children's education, Zoobean uses data science to generate a ""SmartList"" of books. Zoobean also offers a curated service that delivers a specially selected book selection each month."
361,Fort Magic,25,5,525,Toys and Games,Erika Pope,"Sarasota, FL",Sarasota, FL,http://fortmagic.com,75000,0.15,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Fort Magic is a fort-building kit invented to let children's imagination flourish. The kit provides a wealth of poles, connectors and accessory clips to build the best fort ever. A serious upgrade from childhood forts made from stray sticks and sheets, Fort Magic is a building toy unlike any other. Winner of Dr. Toy's Best Classic 2014 Toy Award in the category of Creativity, Construction, Educational Value and Activity Play."
362,Crio Bru,26,5,526,Specialty Food,Eric Durtschi,"Lindon, UT",Lindon, UT,http://www.criobru.com,1000000,0.1,10000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"A brewed drink made from cacao beans? Yes, Crio Bru is like drinking coffee, except it's roasted cocoa beans instead. The roasting and brewing process brings out the complex chocolaty flavors and layered aromas of the cacao bean, which can hardly be appreciated in most typical cocoa products (think chocolate bars and candies). Naturally low-calorie and containing practically no caffeine, Crio Bru is nonetheless dense with antioxidants, theobromine and numerous other vitamins and minerals."
363,Mo's Bows,26,5,526,Men's Accessories,Moziah Bridges,"Memphis, TN",Memphis, TN,http://mosbowsmemphis.com,50000,0.2,250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Fun and fashionable bow ties designed by an enterprising 12-year old.
364,Cerebral Success,26,5,526,Homeopathic Remedies,,"Provo, UT",Provo, UT,http://cerebralsuccess.com,75000,0.2,375000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,FALSE,"A ""brain supplement"" designed to enhance focus, memory, and mental energy."
365,Rugged Maniac Obstacle Race,26,5,526,Entertainment,Rob Dickens and Brad Scudder,"Boston, MA",Boston, MA,http://www.ruggedmaniac.com,1000000,0.1,10000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,"Rugged Maniac Obstacle Race is the organization behind a national serious of events that take regular races to another level. Obstacles ranging from towers, to water slides, fire, tunnels of mud, and even electrified wires litter these race courses. More than just a race, Rugged Maniac events are always capped with a huge celebration. Toast your achievement with beer, music, dancing, bounce houses and more!"
366,Angellift,27,5,527,Personal Care and Cosmetics,,"San Diego, CA",San Diego, CA,http://www.angellift.com,500000,0.1,5000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"AngelLift Dermastrips originated from a simple ""a-ha!"" moment: the realization that it wasn't just a coincidence that wearing braces helps to reduce fine lines and wrinkles. The founders of AngelLift set out the replicate that effect, and the result was AngelLift Dermastrips, a non-invasive, non-chemical way to lift wrinkles and sagging skin. Merely placing AngelLift Dermastrips under the lip for a short time causes the skin in your face to have a long-lasting response. The strip restores pressure that is lost as our gum lines naturally recede with age, and restoring this pressure for just a few minutes a day can quickly produce visible improvements in skin tightness and wrinkle reduction. AngelLift makes a fantastic Botox alternative that will lift wrinkles naturally while saving you money and visits to the doctor."
367,Susty Party,27,5,527,Party Supplies,,"Brooklyn, NY",Brooklyn, NY,http://www.sustyparty.com,250000,0.1,2500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Disposable tableware that is compostable yet colorful, highly-functional, party-ready, and responsibly made in partnership with non-profit factories who employ and empower the visually impaired community."
